Monthly Mean of Max Temp,Mean monthly Min Temp,Relative Humidity (RH),Rainfall (R),Water Level (WL)  ,GAUGE HEIGHT (151.166 m),Class
34.5,18.8,27,0,1.51,152.676,normal
37.5,20.8,21,0,1.51,152.676,normal
40.1,24.9,25,0,1.6,152.766,normal
39.7,27.2,47,45.1,1.54,152.706,normal
37,26.4,61,113.3,1.59,152.756,normal
32.8,24,76,142.4,1.79,152.956,normal
31.2,23.4,79,185.5,2.76,153.926,normal
30.5,23,84,164,4.58,155.746,flood
30,22.8,85,353.9,5.53,156.696,flood
33.6,22.5,74,97.3,4.62,155.786,flood
36.1,12.2,52,0,2.19,153.356,normal
33.5,17.7,38,0,1.77,152.936,normal
31.4,15.6,28,0,1.53,152.696,normal
33.9,18.2,23,0,1.38,152.546,normal
40,21.7,27,0,1.53,152.696,normal
40.1,25.5,42,20.8,1.46,152.626,normal
35.1,24.4,67,137.3,1.53,152.696,normal
33.3,23.4,80,62.9,1.77,152.936,normal
31,22.5,80,235.8,2.66,153.826,normal
30.5,21.8,84,339.7,5.18,156.346,flood
31.1,22.6,81,55.4,3.78,154.946,flood
34.3,22.4,68,4,3.48,154.646,flood
36.4,18.4,42,0,1.71,152.876,normal
33.8,16.4,35,0,1.69,152.856,normal
35.8,18.2,32,0,1.49,152.656,normal
35.4,20,21,0,1.41,152.576,normal
38.6,22.5,22,0,1.43,152.596,normal
40.3,27.2,44,78.5,1.42,152.586,normal
35.8,25.6,64,92.4,1.42,152.586,normal
34.6,24.6,70,143.5,1.46,152.626,normal
30.9,22.9,82,259.6,1.93,153.096,normal
31.8,22.8,82,167.1,4.85,156.016,flood
31.8,22.9,78,90.7,4.29,155.456,flood
31.8,23.3,72,16.6,2.83,153.996,normal
34.6,21.1,59,6.6,1.95,153.116,normal
36.3,19.6,45,0,1.54,152.706,normal
36.5,18.4,37,0,1.31,152.476,normal
34.5,21.5,28,0,1.22,152.386,normal
40.3,26.2,27,0,1.22,152.386,normal
40.5,27.3,51,12.5,1.22,152.386,normal
38.7,24.2,66,161.6,1.69,152.856,normal
32.9,24.1,78,70.3,2.37,152.536,normal
33,23.3,80,128,3.15,154.316,flood
31.6,23,84,168.5,4.32,155.486,flood
30,22.9,82,179,4.99,156.156,flood
32.1,22.9,77,24.7,3.47,154.636,flood
33.6,18.4,50,0,2.26,153.426,normal
36.1,16.9,35,0,1.83,152.996,normal
33.5,17.6,29,0,1.55,152.716,normal
33.1,20.7,21,0,1.47,152.636,normal
35.8,25.7,35,13.1,1.46,152.626,normal
39.4,27.1,48,22.8,1.45,152.616,normal
39.2,26,65,166.7,2.71,153.876,normal
36.2,23.8,67,67.1,2.28,153.446,normal
32.9,22.8,81,216.4,3.23,154.396,flood
31.5,22.7,72,299.5,4.41,155.576,flood
30.6,22.6,80,132.8,5.92,157.086,flood
31,23.1,75,132.8,3.96,155.126,flood
34.1,19.4,49,29.2,2.54,153.706,normal
34.9,16,34,7,1.89,153.056,normal
35.4,17.5,28,0,1.7,152.866,normal
32.3,19,22,0,1.66,152.826,normal
37,24,38,0,1.69,152.856,normal
39,25.9,45,26.1,1.65,152.816,normal
39.4,25,68,71.2,1.82,152.986,normal
35.9,23.2,73,122,2.17,153.336,normal
33.2,23,80,76.2,3.05,154.216,flood
32.1,22.9,83,169.4,4.43,155.596,flood
30.7,22.9,82,262.8,4.61,155.776,flood
31.7,23,74,192,3.26,154.426,flood
35,19,51,41.7,2.21,153.376,normal
35.1,19,36,0,1.94,153.106,normal
34.8,18.4,32,0,1.81,152.976,normal
34.7,21,21,0,1.82,152.986,normal
37,24,21,0,1.74,152.906,normal
41,26.6,24,0,1.74,152.906,normal
38.8,25.8,50,80.7,1.84,153.006,normal
36.6,23.6,63,69.4,2.09,153.256,normal
33.2,23.5,74,107.7,2.89,154.056,flood
32.8,23,74,121.5,3.84,155.006,flood
30,23.4,84,234.8,5.43,156.596,flood
31.4,23,82,112,3.75,154.916,flood
33,18.3,79,110,1.62,152.786,normal
35.4,16.5,35,0,1.79,152.956,normal
33,16,37,0,1.56,152.726,normal
33,18.6,25,0,1.41,152.576,normal
35.9,18.6,32,0,1.41,152.576,normal
40.5,25,42,2.9,1.33,152.496,normal
40.1,27.2,63,30.9,1.66,152.826,normal
37,26,77,68.1,2.42,153.586,normal
32.8,23.8,79,194.9,3.61,154.776,flood
31.5,23.5,84,231.8,5.35,156.516,flood
30.7,23,82,213.7,4.86,156.026,flood
33,23.5,79,50,3.75,154.916,flood
32.9,18.4,51,192.6,2.88,154.046,flood
34.7,16,35,0,2.17,153.336,normal
35.5,16.9,29,0,2,153.166,normal
36.5,21.2,27,0,1.84,153.006,normal
38.7,26,35,0,1.77,152.936,normal
40.2,25,50,0,1.78,152.946,normal
38.8,26,67,0,1.98,153.146,normal
35.2,24,84,120.6,2.82,153.986,normal
33,23.4,78,131.8,3.4,154.566,flood
31.8,22.9,81,146.8,4.55,155.716,flood
31,22.6,82,263.7,5.94,157.106,flood
30.6,22.9,77,206.4,5.27,156.436,flood
32.1,17,52,66.3,2.65,153.816,normal
34.8,16.2,44,0,1.83,152.996,normal
35.4,18.2,28,0,1.55,152.716,normal
35.6,21,19,0,1.47,152.636,normal
30.8,23.5,25,0,1.48,152.646,normal
39.1,24.8,48,0,1.56,152.726,normal
39,26.7,64,126.8,1.88,153.046,normal
36,25,78,177.4,2.48,153.646,normal
33,23.6,80,169,4,155.166,flood
32.2,23,83,98.4,5.57,156.736,flood
32,23.5,73,117.4,4.71,155.876,flood
32.7,24,78,126.9,3.86,155.026,flood
34,20.9,60,96,2.88,154.046,flood
36.4,16.9,41,7,2.14,153.306,normal
35.2,18,30,0,1.8,152.966,normal
34.8,22.3,26,0,1.71,152.876,normal
39,24.6,24,0,1.66,152.826,normal
39,28.1,55,0,1.64,152.806,normal
41.3,27.1,64,0,1.69,152.856,normal
37.5,25,72,106.1,1.99,153.156,normal
35,23.9,79,66.3,2.51,153.676,normal
32,23.2,87,123.6,4.39,155.556,flood
31,23.5,85,224.4,6.16,157.326,flood
31,24,86,153.5,6.54,157.706,flood
33,20.1,58,328.8,2.71,153.876,normal
36.7,18,45,42.4,2.39,153.556,normal
35,18.3,31,0,2.16,153.326,normal
35.3,22.7,32,0,2.1,153.266,normal
38.5,26,37,0,2.05,153.216,normal
41,28,37,0,1.96,153.126,normal
41,26.6,61,1.7,2.08,153.246,normal
37,24.9,77,25.8,2.13,153.296,normal
34.9,24,80,36.4,2.95,154.116,flood
31.7,23.5,84,115.7,3.97,155.136,flood
